hotel_id,hotel_name,region,address,district
69330436,"Căn hộ 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Luxurry Apartment Charm City)",Bình Dương,115 DT743B,KP Thống Nhất 1
78220176,Khách sạn Tân Quý Đô (Tân Quý Đô Hotel),Bình Dương,556 L Th i Tổ,Ho Ph
55272061,Nhà nghỉ nam phương (Nha nghi nam phuong),Bình Dương,Phú Thọ,Thủ Dầu Một
79995184,HongHome Compass One (HongHome Compass One ),Bình Dương,Compass One Building,239 Hoang Van Thu
38783514,Khách sạn Khánh Bình (KHÁCH SẠN KHÁNH BÌNH),Bình Dương,Đường tỉnh 741,Hòa Phú
24251710,Khách sạn Sao Băng (Sao Bang Hotel),Bình Dương,62 Đường D8,Chánh Nghĩa
64962558,Khách sạn Hoàng Gia (Hoang Gia Hotel),Bình Dương,16 TC1,Thới Hoà
984374,Cuc Phuong Hotel,Bình Dương,Số 28 đường GS2,Khu TTTM DV Quảng Trường Xanh
76068359,hotel Hương Thiên Phú (hotel Huong Thien Phu),Bình Dương,Hotel Hương Thiên Phú,Dĩ An
64277532,Khách sạn Bảo Trân 2 (Khach san Bao Tran 2),Bình Dương,D19,Thuận An
77725743,Nhà Nghỉ Hoa Đào (Nhà Nghỉ Hoa Đào ),Bình Dương,61/7 Đường D1,Khu d n cư vietsing
74337724,Charm Apartment,Bình Dương,Dĩ An,Bình Dương
68398360,"Chung cư Midori Park The Glory ưu đãi giá theo tuần , tháng (Chung cu Midori Park The Glory uu đai gia theo tuan , thang)",Bình Dương,4 Đường Hùng Vương,Hòa Phú
12274398,S79 Residences,Bình Dương,khu dan cu Chanh Nghia,Thu Dau Mot
35427007,Nhà nghỉ Thảo Ngân (Nhà Nghỉ Thảo Ngân ),Bình Dương,79 Đ. Lào Cai,Thủ Dầu Một
65453377,Khách sạn Hoàng Triều (皇朝商务会所) (KHÁCH SẠN HOÀNG TRIỀU(皇朝商务会所)Tp.Mới-Bình Dương),Bình Dương,304 Đồng Khởi,Phú Mỹ
59318539,Khách sạn Hưng Phát (Hotel Hưng Phát),Bình Dương,Binh Hoa 1 Neighborhood,Tan Phuoc Khanh
45418566,hotel mỹ việt (hotel my viet),Bình Dương,36 Nguyễn An Ninh,Dĩ An
2496850,Lavender Hotel,Bình Dương,Lot A3,D5 Street
42295839,Happy 1 Hotel Binh Duong,Bình Dương,Đường NA2,Bến Cát
75848060,Hoàng Nam 2 Hotel Bình Dương (Hoang Nam 2 Hotel Binh Duong),Bình Dương,42/2 Đường Bình Chuẩn 66,Bình Chuẩn
79077760,Hoàng Lâm Hotel (Hoang Lam Hotel),Bình Dương,14E,Đường Lê Hoàn
78328191,Ruby Home,Bình Dương,137 Duong D,KDC Chanh Nghia
75619509,The Emerald Golf View,Bình Dương,Thuận An,Bình Dương
54619271,Nhà Nghỉ Hương Giang (Nha Nghi Huong Giang),Bình Dương,289 Đường Trương Định,p Hiệp Thành
71661182,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Hòa Phú (Midori Park The Glory apartment (19th Floor))",Bình Dương,Hòa Phú,Bình Dương
69127176,Maison Mia Hotel & Apartment,Bình Dương,Maison Mia Hotel & Apartment Tòa nhà Maison Mia,Hòa Phú
42180899,Khách Sạn Khánh Bình - Bình Dương (Khach San Khanh Binh - Binh Duong),Bình Dương,Đường Khánh Bình 28,khu phố Bình Khánh
39830558,"Căn hộ 80 m² 3 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (Charm House2 - Floor29)",Bình Dương,Dĩ An,Bình Dương
76381694,"Căn hộ m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Emerald golf view appartment )",Bình Dương,Thuận An,Bình Dương
47272876,"Nhà riêng 100 m² 2 phòng ngủ, 3 phòng tắm riêng ở Bến Cát (Căn hộ dịch vụ Minh Yến)",Bình Dương,Bến Cát,Bình Dương
79228704,New Lavida,Bình Dương,New Lavida,Số 979 đường ĐT743A
42072846,Khách sạn Marina Bình Dương (MarinaHotelBinhDuong),Bình Dương,150 Nguyen Huu Canh,2 Town
1423429,Khách sạn New (New Hotel),Bình Dương,86 Trần Bình Trọng,TP. Thủ Dầu Một
37329771,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (BIG PROMO Luxyry 2 bedroom Charm City Appartment)",Bình Dương,Dĩ An,Bình Dương
79134594,Khách sạn Bcons City (Bcons City Hotel),Bình Dương,Đ. Thống Nhất,Dĩ An
65482029,Khách sạn Phương Đông 2 (Khach san Phuong Đong 2),Bình Dương,195 An Phú 10,Thuận An
78120100,Công Ty TNHH SẢN XUẤT & THƯƠNG MẠI PHÚC ĐẠT (Cong Ty TNHH SAN XUAT & THUONG MAI PHUC ĐAT),Bình Dương,Khách Sạn Phúc Đạt 3 tầng,Hòa Phú
9846724,"Chung cư 32 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (MODERN 1BR APT IN VIET-SING TOWN)",Bình Dương,Thuận An,Bình Dương
45094383,"Căn hộ 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Thủ Dầu Một (Căn hộ 2 ngủ View Sài Gòn)",Bình Dương,Thủ Dầu Một,Bình Dương
78120912,Công Ty TNHH SẢN XUẤT & THƯƠNG MẠI PHÚC ĐẠT (Cong Ty TNHH SAN XUAT & THUONG MAI PHUC ĐAT),Bình Dương,Khách Sạn Phúc Đạt 3 tầng,Hòa Phú
55769765,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (English, Vietnam, Chinese )",Bình Dương,Dĩ An,Bình Dương
47373560,"Nhà riêng 100 m² 2 phòng ngủ, 2 phòng tắm riêng ở Bến Cát (Căn hộ Minh Yến- Căn 2 phòng ngủ.)",Bình Dương,Bến Cát,Bình Dương
64045412,ELLMAN Boutique Hotel,Bình Dương,WPVC+9VW,Thuận An
63143382,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà Nghỉ Bảo Trân)",Bình Dương,Thuận An,Bình Dương
64246545,"Căn hộ 49 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Happy House Apartment in Charm City, Di An, BD)",Bình Dương,Dĩ An,Bình Dương
66727643,Chung cư sunrise Becamex (Chung cu sunrise Becamex),Bình Dương,Thủ Dầu Một,Bình Dương
63143718,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà nghỉ Bảo Trân )",Bình Dương,Thuận An,Bình Dương
78671366,Hotel Gia Bình (Hotel Gia Binh),Bình Dương,Đường Hùng Vương,Bến Cát
34732752,"Căn hộ 55 m² 2 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Căn Hộ Cao Cấp 2 PN Tại Dĩ An (Q1, Sân Bay, 15KM))",Bình Dương,Thuận An,Bình Dương
63143738,"Căn hộ 22 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Nhà nghỉ Bảo Trân)",Bình Dương,Thuận An,Bình Dương
39581491,Vietnamese-German University Guest Housing,Bình Dương,Bến Cát,Bình Dương
74586303,"Căn hộ 51 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (-33% The Emerald Golf View Thuận An)",Bình Dương,Thuận An,Bình Dương
36122072,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (Tòa nhà Charm Plaza)",Bình Dương,Dĩ An,Bình Dương
80531404,Khách sạn Dìn Ký Cầu Ngang Bình Dương (Khách Sạn Dìn Ký Cầu Ngang Bình Dương),Bình Dương,94 Binh Nham 02 Street,Binh Nham Ward
35745040,"Căn hộ 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Căn Hộ Homstay 2PN - 5 Sao tại Vincom, Dĩ An. )",Bình Dương,Dĩ An,Bình Dương
79830931,Khách sạn Bình Cơ (Bình Cơ Hotel),Bình Dương,Số 902 Đường Hội Nghĩa 83,Phường Hội Nghĩa
79383320,Platinum,Bình Dương,Đường KK 3,Bến Cát
60842508,"Nhà riêng m² 12 phòng ngủ, 12 phòng tắm riêng ở Thuận An (Nhà Nghỉ Ngọc Phạm)",Bình Dương,Thuận An,Bình Dương
21952476,Kỳ Phú (Ky Phu),Bình Dương,89C/1 Town 1A,An Phu Ward
59561670,"Căn hộ m² 2 phòng ngủ, 2 phòng tắm riêng ở Thủ Dầu Một (C-Sky View Apartment - 2Brs - Swimming Pool - Gym)",Bình Dương,Thủ Dầu Một,Bình Dương
64038795,Hotel Truong Giang,Bình Dương,Lot J56 NE8 Street,My Phuoc 3
28723451,"Biệt thự 1200 m² 4 phòng ngủ, 5 phòng tắm riêng ở Vinh Phú (Four Bedrooms Riverside Villa with Sunset & Pool)",Bình Dương,D88B,Thuận An
78040243,"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Xóm Bưng Đìa (Sora Gardens1 1 bedroom 63m2)",Bình Dương,Lô C18 Đường Hùng Vương,Phú Mỹ
69127449,Khách Sạn Hoa Anh Đào (Khach San Hoa Anh Đao),Bình Dương,1231/15 Tỉnh lộ 43 1231/15,Thuận An
17012626,"Căn hộ 75 m² 2 phòng ngủ, 2 phòng tắm riêng ở Hòa Phú (Nha da ban roi. Khong cho thue nua. Not for rent)",Bình Dương,Hòa Phú,Bình Dương
51664475,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vinh Phú (the emerad gofl view)",Bình Dương,Thuận An,Bình Dương
39830475,"Căn hộ 96 m² 1 phòng ngủ, 3 phòng tắm riêng ở Dĩ An (Charm House4 - 3bedroom, Floor25)",Bình Dương,Dĩ An,Bình Dương
79940602,Rustic Homestay Bình Dương (Rustic Homestay Binh Duong),Bình Dương,Rustic Homestay Bình Dương Số 7 D6 Khu dân cư Phú Hòa 1,Thủ Dầu Một
68549055,"Căn hộ m² 1 phòng ngủ, 1 phòng tắm riêng ở Bến Cát (Hiến )",Bình Dương,Bến Cát,Bình Dương
34732346,"Căn hộ 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Căn Hộ Cao Cấp 50M2 Khu VinCom Dĩ An (Chamcity))",Bình Dương,Dĩ An,Bình Dương
35228829,"Căn hộ 55 m² 1 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Lovely Luxury Apartment 5)",Bình Dương,Dĩ An,Bình Dương
55410691,The Emerald Golf View,Bình Dương,The Emerald Golf View,Thuan An
63185997,"Căn hộ 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Khách Sạn Bảo Trân)",Bình Dương,Thuận An,Bình Dương
63326539,"Căn hộ 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (Khách Sạn Bảo Trân)",Bình Dương,Thuận An,Bình Dương
23139683,"Nhà riêng 100 m² 2 phòng ngủ, 2 phòng tắm riêng ở Di An (Phong cho thue Di an)",Bình Dương,Dĩ An,Bình Dương
44335172,"Nhà riêng 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Thủ Dầu Một (Apartment with Saigon river view)",Bình Dương,Thủ Dầu Một,Bình Dương
63143430,"Căn hộ m² 1 phòng ngủ, 1 phòng tắm riêng ở Thuận An (hotell Bảo Trân)",Bình Dương,Thuận An,Bình Dương
27847541,Khu căn hộ S79 Panorama (S79 Residences Panorama),Bình Dương,khu d n cư Ch nh Nghĩa Khu 11,phường Ch nh Nghĩa
68419347,"Căn hộ 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Thủ Dầu Một (Căn hộ Bình Dương-Happy One Central Appartment)",Bình Dương,Thủ Dầu Một,Bình Dương
77622427,Khách sạn COMMON INN Thủ Dầu Một (COMMON INN Thu Dau Mot),Bình Dương,171 Đường Ho ng Văn Thụ,Ch nh Nghĩa
54619094,Hoa Cúc Phương Hotel Dĩ An - Bình Dương,Bình Dương,72C KDC duong 19/8,KP Tay B
78757156,Căn hộ nghỉ dưỡng Dĩ An (Can ho nghi duong Di An),Bình Dương,Dĩ An,Bình Dương
36927340,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Dĩ An (Khu phức hợp Charm City, căn hộ cao cấp nhất Dĩ An)",Bình Dương,Dĩ An,Bình Dương
28853368,Khách sạn Thành Đạt (Thanh Dat Hotel),Bình Dương,3 CN Street,An Phu Ward
55323509,"Nhà riêng 100 m² 3 phòng ngủ, 4 phòng tắm riêng ở Thuận An (Tropical House Bình Dương)",Bình Dương,Thuận An,Bình Dương
67378274,Ellman Hotel - 艾尔曼酒店,Bình Dương,Đường NA4,Thuận An
31728060,Charm City Apartment Di An Binh Duong,Bình Dương,Dĩ An,Bình Dương
60156281,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Thuận An (Trung tâm Tp Thuận An, cách quận 1 (HCM) chỉ 30ph )",Bình Dương,Thuận An,Bình Dương
34164435,"Căn hộ 55 m² 2 phòng ngủ, 1 phòng tắm riêng ở Dĩ An (Căn Hộ Home Stay 5 Sao (Reosort) Dĩ An - 3KM TPHCM)",Bình Dương,Dĩ An,Bình Dương
61349581,"Nhà riêng 64 m² 1 phòng ngủ, 1 phòng tắm riêng ở Bình Long (Snow Trinh Homestay)",Bình Phước,Tổ 12 khu phố 3,phường Minh Hưng
68166059,Hoang Hung Hotel,Bình Phước,Ap 3B Quoc lo 13,Bình Long
48728667,Khách sạn Tân Hạnh (KHACH SAN TAN HANH),Bình Phước,Số 179,Đường Nguyễn Tất Th nh
32608064,Khách sạn Binh Long (Binh Long Hotel),Bình Phước,207 Trần Hưng Đạo,Khu Phố Phú Nghĩa
79972415,Ladona Farmstay,Bình Phước,Ladona Farmstay,Đồng Xoài
64896649,Nhà Nghỉ Đồng Xoài Đoàn Gia,Bình Phước,1330/12/14 Phú Riềng Đỏ,Tân Đồng
51515389,Nhà nghỉ Quốc Khánh (Nha nghi Quoc Khanh),Bình Phước,198 Quốc lộ 14,Đồng Xoài
23166496,"Căn hộ 20 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (Hùng Oanh Hotel - Room with Double Bed)",Bình Phước,Đồng Xoài,Dồng Xoài
59439521,Nhà Nghỉ Bảo Ngọc,Bình Phước,329 Lê Quý Đôn,Tân Xuân
37038854,Nhà Ông Chú (Nha Ong Chu),Bình Phước,Lê Trọng Tấn,Phước Long
34165157,"Căn hộ 20 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (Hùng Oanh Hotel - Room with 2 Double Beds)",Bình Phước,Đồng Xoài,Dồng Xoài
46886295,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (May House - Căn hộ dịch vụ)",Bình Phước,Đồng Xoài,Dồng Xoài
6748373,An Loc Hotel & Spa,Bình Phước,National Highway 13,Hung Chien Ward
73348841,Vivu24h Hồ Dầu Tiếng,Bình Phước,Vivu24h- Hồ Dầu Tiếng https://maps.app.goo.gl/r5qvMRNW5YDqbLbW8,Thạnh Tân
46991867,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Đồng Xoài (May House - Căn hộ dịch vụ)",Bình Phước,Đồng Xoài,Dồng Xoài
59871386,Nhà Nghỉ KV (Nha Nghi KV),Bình Phước,Đồng Xoài,Dồng Xoài
34309695,FLC Sea Tower Quy Nhơn Seaview Apartment,Bình Định,02 Nguyen Trung Tin Quy Nhon Ward,Thành phố biển
28201768,FLC Sea Tower - The Beach Quy Nhơn (FLC Sea Tower - The Beach Quy Nhon),Bình Định,T a Nh FLC Sea Tower 44 đường V Thị Yến,Phường Nguyễn Văn Cừ
67703642,Khách sạn Sala Quy Nhơn Beach (Sala Quy Nhon Beach Hotel),Bình Định,124 Phan Chu Trinh,Thành phố biển
33801011,TMS Quy Nhơn - ROSHI Apartment Ocean View,Bình Định,28 Nguyễn Huệ,Tòa Nhà TMS
22406185,FLC Quy Nhon SeaView Condotel  (FLC Quy Nhon SeaView Condotel ),Bình Định,66 V&#245; Thị Yến,Thành phố biển
18264628,Khách sạn Fleur De Lys Quy Nhơn (Fleur De Lys Hotel Quy Nhon),Bình Định,16 Nguyen Hue Street,Le Loi Ward
5663756,Khách sạn trung tâm Quy Nhơn (Quy Nhon center hotel),Bình Định,51 Ho ng Diệu,phường Quy Nhơn
22420717,Căn hộ khách sạn FLC Quy Nhơn Beachfront (FLC Quy Nhon Beachfront Condotel),Bình Định,44 V Thị Yến,Thành phố biển
6910217,Nhà nghỉ Sunrise (Nha nghi Sunrise),Bình Định,12 Trần Văn Ơn,Thành phố biển
80556116,"m² 1 phòng ngủ, 1 phòng tắm riêng ở Thành phố biển (Homestay Dâu biển Quy Nhơn)",Bình Định,Thành phố biển,Quy Nhơn (Bình Định)
16909731,Khách sạn Anya Premier Beachfront Quy Nhơn (Anya Premier Beachfront Hotel Quy Nhon),Bình Định,44 An Duong Vương Street,Nguyen Van Cu ward
35780683,Khách sạn Grand Hyams - Bãi biển Quy Nhơn (Grand Hyams Hotel - Quy Nhon Beach),Bình Định,28 Nguyen Hue,Le Loi Ward
34557033,Khách sạn Lucien Quy Nhơn (Khách Sạn Lucien Hotel Quy Nhơn ),Bình Định,Khách Sạn Lucien Hotel Quy Nhơn,Trung tâm thành phố Quy Nhơn
32654923,Khách sạn L'amor Boutique (L'amor Boutique Hotel),Bình Định,1H1 Nguyễn Thị Định,Phường Quy Nhơn Nam
78112429,TMS Quy Nhon SeaView Condotel (TMS Quy Nhon SeaView Condotel ),Bình Định,28 Nguyễn Huệ,Phường Lê Lợi
25099924,KHÁCH SẠN LE MINT QUY NHƠN (LE MINT HOTEL QUY NHON),Bình Định,Trần Khánh Dư,Trung tâm thành phố Quy Nhơn
80388739,TMS Grand Ocean View Quy Nhơn,Bình Định,28 Nguyễn Huệ,Phường Lê Lợi
9635207,Khách sạn Anya Beach Quy Nhơn (Anya Beach Hotel Quy Nhon),Bình Định,3 Nguyễn Trung Tín,Thành phố biển
33128767,TMS Quy Nhơn View Biển,Bình Định,28 Nguyễn Huệ - Quy Nhơn City,Thành phố biển
34151465,Khách sạn Haku Boutique Quy Nhơn Kim Đồng - Xuân Diệu (Haku Boutique Hotel Quy Nhon Kim Dong - Xuan Dieu ),Bình Định,06 Kim Đồng,Thành phố biển
16072744,KHÁCH SẠN ATHENA QUY NHƠN (ATHENA HOTEL QUY NHON),Bình Định,08 Lê Lai,Phường Ngô Mây
40776896,Khách sạn Happiness (Happiness Hotel),Bình Định,No. 5,Xuong Ly
31491737,Căn hộ TMS Beachfront Quy Nhơn (TMS Beachfront Quy Nhon Apartment),Bình Định,28 Nguyễn Huệ,Thành phố biển
35353918,Khách sạn ODIN Quy Nhơn (ODIN HOTEL QUY NHON),Bình Định,6 Trần Cao Vân,Thành phố biển
10960150,Khách Sạn La Cactus (La Cactus Hotel),Bình Định,220 Nguyễn Thị Định,Trung tâm thành phố Quy Nhơn
64197741,Khách sạn & Spa A'dor (A'dor Hotel & Spa),Bình Định,Số 56 Phạm H ng,Phường Quy Nhơn
43382,Seagull Hotel,Bình Định,489 An Dương Vương,Thành phố biển
